"","Year","ZIP.code","age","Number.of.Visits","Age.adjusted.rate","County.Fips.code","County"
"11637",2014,95824,"child",114,118.5,6067,"sacramento"
"11638",2009,93611,"adult",76,23.29998779,6019,"fresno"
"11639",2012,94803,"adult",105,51.79998779,6013,"contra costa"
"11640",2009,96067,"adult",14,20.59999085,6093,"siskiyou"
"11641",2009,92065,"child",47,50.09997559,6073,"san diego"
"11642",2009,91790,"adult",121,36.5,6037,"los angeles"
"11643",2016,94010,"child",15,16.4,6081,"san mateo"
"11644",2009,91204,"child",30,72.29998779,6037,"los angeles"
"11645",2012,92250,"adult",37,63.5,6025,"imperial"
"11646",2014,95616,"child",26,49.1,6113,"yolo"
"11647",2009,90814,"adult",41,28.29998779,6037,"los angeles"
"11648",2009,91786,"adult",209,55.09997559,6071,"san bernardino"
"11649",2012,95965,"adult",79,56.8999939,6007,"butte"
"11650",2014,93455,"adult",106,35.1,6083,"santa barbara"
"11651",2012,93309,"adult",225,51.79998779,6029,"kern"
"11652",2012,93535,"child",365,153.6999512,6037,"los angeles"
"11653",2009,94521,"adult",127,38.3999939,6013,"contra costa"
"11654",2015,91505,"child",34,60.9,6037,"los angeles"
"11655",2016,95407,"adult",166,59,6097,"sonoma"
"11656",2009,91775,"adult",26,12,6037,"los angeles"
"11657",2009,92807,"child",29,35.69998169,6059,"orange"
"11658",2009,94706,"adult",42,30.69999695,6001,"alameda"
"11659",2016,93637,"adult",116,44,6039,"madera"
"11660",2014,92532,"child",27,42.9,6065,"riverside"
"11661",2013,91733,"child",101,77.5,6037,"los angeles"
"11662",2009,91768,"adult",117,48.8999939,6037,"los angeles"
"11663",2009,95231,"child",20,156.6999512,6077,"san joaquin"
"11664",2013,95776,"adult",66,45.5,6113,"yolo"
"11665",2009,91766,"adult",242,53.5,6037,"los angeles"
"11666",2012,94579,"adult",88,49.59997559,6001,"alameda"
"11667",2013,90680,"adult",83,34.5,6059,"orange"
"11668",2009,94553,"adult",244,64,6013,"contra costa"
"11669",2012,92313,"child",18,64.89996338,6071,"san bernardino"
"11670",2016,90002,"adult",236,67.2,6037,"los angeles"
"11671",2009,92119,"child",23,52.19998169,6073,"san diego"
"11672",2013,92708,"adult",81,17.9,6059,"orange"
"11673",2012,90023,"adult",127,40,6037,"los angeles"
"11674",2016,92240,"adult",115,46.6,6065,"riverside"
"11675",2012,94965,"adult",18,15.8999939,6041,"marin"
"11676",2012,92612,"adult",22,9.899993897,6059,"orange"
"11677",2009,91755,"adult",48,19,6037,"los angeles"
"11678",2015,92064,"child",38,35.1,6073,"san diego"
"11679",2015,91335,"child",188,110,6037,"los angeles"
"11680",2012,95131,"adult",53,25.09999085,6085,"santa clara"
"11681",2012,92020,"adult",200,45.3999939,6073,"san diego"
"11682",2016,92363,"adult",33,101.4,6071,"san bernardino"
"11683",2009,91766,"child",243,89.29998779,6037,"los angeles"
"11684",2015,93650,"adult",28,192.7,6019,"fresno"
"11685",2012,92104,"adult",170,47.3999939,6073,"san diego"
"11686",2012,90703,"adult",99,28.29998779,6037,"los angeles"
"11687",2009,91754,"adult",66,24.5,6037,"los angeles"
"11688",2015,93555,"adult",156,70.6,6029,"kern"
"11689",2012,94025,"child",53,50.3999939,6081,"san mateo"
"11690",2012,90701,"adult",28,21.19999695,6037,"los angeles"
"11691",2009,91752,"adult",55,27,6065,"riverside"
"11692",2014,90505,"adult",37,13.6,6037,"los angeles"
"11693",2009,95242,"adult",38,18.8999939,6077,"san joaquin"
"11694",2009,95337,"adult",129,63.69998169,6077,"san joaquin"
"11695",2009,91950,"adult",184,49.19998169,6073,"san diego"
"11696",2009,91741,"adult",53,27.5,6037,"los angeles"
"11697",2009,91737,"adult",39,24.29998779,6071,"san bernardino"
"11698",2013,92346,"child",104,69.4,6071,"san bernardino"
"11699",2009,95482,"adult",187,80.79998779,6045,"mendocino"
"11700",2013,96097,"adult",45,72.2,6093,"siskiyou"
"11701",2014,94070,"child",12,17,6081,"san mateo"
"11702",2012,91402,"adult",392,80.5,6037,"los angeles"
"11703",2016,92118,"child",13,37.5,6073,"san diego"
"11704",2013,91411,"adult",86,43.8,6037,"los angeles"
"11705",2009,95762,"adult",43,19.59999085,6017,"el dorado"
"11706",2009,91723,"adult",54,42.79998779,6037,"los angeles"
"11707",2015,94553,"adult",160,42,6013,"contra costa"
"11708",2015,92110,"child",25,63.3,6073,"san diego"
"11709",2013,92126,"child",95,62.8,6073,"san diego"
"11710",2015,90302,"adult",188,80.8,6037,"los angeles"
"11711",2014,91766,"adult",282,58.2,6037,"los angeles"
"11712",2016,94597,"child",13,30.8,6013,"contra costa"
"11713",2014,91740,"child",40,75.2,6037,"los angeles"
"11714",2009,90034,"child",83,74.39996338,6037,"los angeles"
"11715",2009,91711,"adult",55,19.19999695,6037,"los angeles"
"11716",2012,90043,"adult",302,90.19995117,6037,"los angeles"
"11717",2015,95776,"child",47,68.9,6113,"yolo"
"11718",2013,94061,"adult",102,35.3,6081,"san mateo"
"11719",2013,94523,"child",24,36.3,6013,"contra costa"
"11720",2012,94555,"adult",89,38.8999939,6001,"alameda"
"11721",2009,91709,"adult",91,20.09999085,6071,"san bernardino"
"11722",2009,95824,"adult",195,100.3999634,6067,"sacramento"
"11723",2009,90266,"adult",40,16.69999695,6037,"los angeles"
"11724",2012,91106,"adult",46,23.3999939,6037,"los angeles"
"11725",2009,91403,"adult",48,26.3999939,6037,"los angeles"
"11726",2015,94564,"adult",57,37.5,6013,"contra costa"
"11727",2014,95926,"adult",124,41.5,6007,"butte"
"11728",2013,91423,"child",17,30.5,6037,"los angeles"
"11729",2013,90623,"adult",24,18.9,6059,"orange"
"11730",2012,92620,"adult",51,18.69999695,6059,"orange"
"11731",2009,95820,"child",98,86.79998779,6067,"sacramento"
"11732",2009,90057,"child",123,89,6037,"los angeles"
"11733",2016,95901,"adult",109,47.1,6115,"yuba"
"11734",2012,96122,"adult",15,37.79998779,6063,"plumas"
"11735",2009,91411,"adult",105,57.8999939,6037,"los angeles"
"11736",2013,93004,"adult",46,19.4,6111,"ventura"
"11737",2009,93619,"adult",32,14.5,6019,"fresno"
"11738",2012,95252,"adult",42,40,6009,"calaveras"
"11739",2016,94521,"child",55,62.9,6013,"contra costa"
"11740",2009,91701,"adult",77,26.8999939,6071,"san bernardino"
"11741",2014,92583,"adult",101,47.7,6065,"riverside"
"11742",2009,95050,"adult",64,23.19999695,6085,"santa clara"
"11743",2013,92407,"adult",249,57.6,6071,"san bernardino"
"11744",2012,91945,"adult",69,34.8999939,6073,"san diego"
"11745",2009,93721,"adult",53,106.3999634,6019,"fresno"
"11746",2014,94401,"child",59,75.6,6081,"san mateo"
"11747",2016,92509,"adult",220,37.4,6065,"riverside"
"11748",2016,94965,"child",13,74.2,6041,"marin"
"11749",2014,95231,"adult",20,66,6077,"san joaquin"
"11750",2013,91390,"child",13,22.7,6037,"los angeles"
"11751",2014,90740,"adult",43,23.6,6059,"orange"
"11752",2013,95436,"adult",27,73,6097,"sonoma"
"11753",2012,92106,"child",18,48.59997559,6073,"san diego"
"11754",2012,93004,"adult",63,29.3999939,6111,"ventura"
"11755",2009,91601,"adult",135,49,6037,"los angeles"
"11756",2016,92028,"adult",62,19.3,6073,"san diego"
"11757",2014,94707,"adult",15,17.4,6001,"alameda"
"11758",2009,95060,"child",27,34.5,6087,"santa cruz"
"11759",2012,93637,"adult",152,60.19998169,6039,"madera"
"11760",2015,93257,"child",241,92.6,6107,"tulare"
"11761",2015,94804,"adult",342,110.8,6013,"contra costa"
"11762",2009,91502,"adult",25,26.19999695,6037,"los angeles"
"11763",2009,95765,"child",44,48.59997559,6061,"placer"
"11764",2016,93274,"adult",220,43,6107,"tulare"
"11765",2014,94110,"adult",213,37.3,6075,"san francisco"
"11766",2013,92252,"adult",48,70.8,6071,"san bernardino"
"11767",2009,94619,"child",70,120.2999878,6001,"alameda"
"11768",2009,94070,"adult",41,18.69999695,6081,"san mateo"
"11769",2012,94587,"child",157,92.09997559,6001,"alameda"
"11770",2012,92227,"adult",154,83.69995117,6025,"imperial"
"11771",2012,95610,"adult",136,40.69998169,6067,"sacramento"
"11772",2009,91436,"adult",27,22.09999085,6037,"los angeles"
"11773",2012,95694,"child",12,52.69998169,6113,"yolo"
"11774",2009,93212,"adult",82,40.79998779,6031,"kings"
"11775",2016,94102,"child",29,92.9,6075,"san francisco"
"11776",2012,95531,"child",40,76.19995117,6015,"del norte"
"11777",2016,93940,"adult",52,18.8,6053,"monterey"
"11778",2009,93555,"adult",187,83.69995117,6029,"kern"
"11779",2009,94539,"adult",55,17.5,6001,"alameda"
"11780",2014,92058,"adult",51,25.3,6073,"san diego"
"11781",2009,95472,"child",22,41,6097,"sonoma"
"11782",2014,90242,"adult",127,38,6037,"los angeles"
"11783",2009,91978,"child",19,59.5,6073,"san diego"
"11784",2009,91316,"adult",55,24.79998779,6037,"los angeles"
"11785",2012,95327,"adult",30,35.29998779,6109,"tuolumne"
"11786",2009,91775,"child",19,31.29998779,6037,"los angeles"
"11787",2014,95129,"adult",29,10,6085,"santa clara"
"11788",2012,93449,"adult",12,21.69999695,6079,"san luis obispo"
"11789",2016,92646,"adult",79,18.7,6059,"orange"
"11790",2012,92335,"adult",389,61.19998169,6071,"san bernardino"
"11791",2015,95969,"adult",76,40,6007,"butte"
"11792",2015,90731,"child",198,134.2,6037,"los angeles"
"11793",2016,95391,"adult",21,24.2,6077,"san joaquin"
"11794",2012,93012,"adult",50,20.09999085,6111,"ventura"
"11795",2009,95817,"adult",112,99.89996338,6067,"sacramento"
"11796",2009,95842,"adult",167,72.69995117,6067,"sacramento"
"11797",2013,91406,"adult",214,53.3,6037,"los angeles"
"11798",2009,95202,"adult",108,229.2999268,6077,"san joaquin"
"11799",2009,91390,"adult",18,12.19999695,6037,"los angeles"
"11800",2012,90706,"adult",289,52.69998169,6037,"los angeles"
"11801",2013,91104,"child",36,43.1,6037,"los angeles"
"11802",2009,93110,"adult",20,16.79998779,6083,"santa barbara"
"11803",2015,92313,"adult",20,24.5,6071,"san bernardino"
"11804",2016,91977,"adult",154,33.7,6073,"san diego"
"11805",2009,91384,"adult",48,21.79998779,6037,"los angeles"
"11806",2009,95304,"adult",41,33.19998169,6077,"san joaquin"
"11807",2016,95948,"child",15,50.8,6007,"butte"
"11808",2014,95065,"adult",15,23.2,6087,"santa cruz"
"11809",2013,93001,"adult",79,32.2,6111,"ventura"
"11810",2016,92084,"child",41,32,6073,"san diego"
"11811",2009,94115,"adult",137,54.59997559,6075,"san francisco"
"11812",2009,91360,"adult",72,21,6111,"ventura"
"11813",2012,90013,"adult",140,105.8999634,6037,"los angeles"
"11814",2009,95822,"adult",236,68.5,6067,"sacramento"
"11815",2009,91356,"adult",92,38.29998779,6037,"los angeles"
"11816",2012,95521,"child",30,107.8999634,6023,"humboldt"
"11817",2009,92408,"adult",78,74.89996338,6071,"san bernardino"
"11818",2009,91351,"adult",63,28.79998779,6037,"los angeles"
"11819",2009,95366,"adult",35,29.69999695,6077,"san joaquin"
"11820",2016,91765,"child",35,41.7,6037,"los angeles"
"11821",2014,91436,"adult",32,23.4,6037,"los angeles"
"11822",2009,95831,"child",63,79.79998779,6067,"sacramento"
"11823",2009,95928,"adult",97,39.29998779,6007,"butte"
"11824",2009,90710,"adult",72,35.3999939,6037,"los angeles"
"11825",2009,91350,"adult",39,19.09999085,6037,"los angeles"
"11826",2014,92612,"adult",45,19.6,6059,"orange"
"11827",2009,91345,"adult",65,47.8999939,6037,"los angeles"
"11828",2015,91607,"adult",96,39.9,6037,"los angeles"
"11829",2009,95901,"adult",131,55.09997559,6115,"yuba"
"11830",2012,90806,"child",125,100.3999634,6037,"los angeles"
"11831",2009,94903,"adult",48,20.79998779,6041,"marin"
"11832",2015,92545,"child",71,73,6065,"riverside"
"11833",2015,95203,"adult",127,103.8,6077,"san joaquin"
"11834",2012,91754,"adult",66,23.29998779,6037,"los angeles"
"11835",2016,95366,"child",17,39.3,6077,"san joaquin"
"11836",2013,92692,"child",34,38.1,6059,"orange"
"11837",2016,92277,"adult",47,22.9,6071,"san bernardino"
"11838",2013,95117,"child",49,67,6085,"santa clara"
"11839",2016,94609,"adult",122,65.9,6001,"alameda"
"11840",2016,90755,"adult",27,30.4,6037,"los angeles"
"11841",2013,95688,"adult",137,52.9,6095,"solano"
"11842",2009,91307,"adult",68,37.19998169,6037,"los angeles"
