"","Year","ZIP.code","age","Number.of.Visits","Age.adjusted.rate","County.Fips.code","County"
"11992",2009,92501,"adult",165,99.19995117,6065,"riverside"
"11993",2016,95050,"child",24,29.7,6085,"santa clara"
"11994",2014,92603,"adult",17,10.6,6059,"orange"
"11995",2012,92808,"adult",30,22.09999085,6059,"orange"
"11996",2013,95630,"child",45,26.2,6067,"sacramento"
"11997",2013,92399,"adult",122,31.2,6071,"san bernardino"
"11998",2009,95350,"adult",241,61,6099,"stanislaus"
"11999",2015,94706,"adult",27,18.2,6001,"alameda"
"12000",2016,94513,"child",103,59,6013,"contra costa"
"12001",2013,91739,"adult",71,29.1,6071,"san bernardino"
"12002",2014,95138,"child",14,25.9,6085,"santa clara"
"12003",2009,95023,"adult",150,43.09997559,6069,"san benito"
