Geography,Year,Age Group,Strata,Strata Name,Numerator,Percent
Alameda,2015,18 and Over,Total Population,18 and Over,"6,513",53.1
Amador,2015,18 and Over,Total Population,18 and Over,151,49.1
Butte,2015,18 and Over,Total Population,18 and Over,736,43.8
Calaveras,2015,18 and Over,Total Population,18 and Over,139,42.7
California,2015,18 and Over,Total Population,18 and Over,"117,854",40
Colusa,2015,18 and Over,Total Population,18 and Over,49,29
Contra Costa,2015,18 and Over,Total Population,18 and Over,"4,528",54.8
Del Norte,2015,18 and Over,Total Population,18 and Over,91,41.9
El Dorado,2015,18 and Over,Total Population,18 and Over,422,32.8
Fresno,2015,18 and Over,Total Population,18 and Over,"3,454",49.5
Glenn,2015,18 and Over,Total Population,18 and Over,83,39.4
Humboldt,2015,18 and Over,Total Population,18 and Over,682,64.8
Imperial,2015,18 and Over,Total Population,18 and Over,651,47.2
Inyo,2015,18 and Over,Total Population,18 and Over,55,40.1
Kern,2015,18 and Over,Total Population,18 and Over,"3,293",50.3
Kings,2015,18 and Over,Total Population,18 and Over,635,56.1
Lake,2015,18 and Over,Total Population,18 and Over,363,76.9
Lassen,2015,18 and Over,Total Population,18 and Over,115,40.2
Los Angeles,2015,18 and Over,Total Population,18 and Over,"31,687",40.8
Madera,2015,18 and Over,Total Population,18 and Over,445,37.7
Marin,2015,18 and Over,Total Population,18 and Over,374,18.3
Mariposa,2015,18 and Over,Total Population,18 and Over,69,51.8
Mendocino,2015,18 and Over,Total Population,18 and Over,349,53.4
Merced,2015,18 and Over,Total Population,18 and Over,"1,315",69.2
Modoc,2015,18 and Over,Total Population,18 and Over,34,56.7
Mono,2015,18 and Over,Total Population,18 and Over,27,24.8
Monterey,2015,18 and Over,Total Population,18 and Over,"1,224",38.3
Napa,2015,18 and Over,Total Population,18 and Over,382,34.7
Nevada,2015,18 and Over,Total Population,18 and Over,272,41
Orange,2015,18 and Over,Total Population,18 and Over,"5,996",24.9
Placer,2015,18 and Over,Total Population,18 and Over,788,27.9
Plumas,2015,18 and Over,Total Population,18 and Over,78,53.2
Riverside,2015,18 and Over,Total Population,18 and Over,"6,194",35.7
Sacramento,2015,18 and Over,Total Population,18 and Over,"6,824",61.7
San Benito,2015,18 and Over,Total Population,18 and Over,170,40.9
San Bernardino,2015,18 and Over,Total Population,18 and Over,"7,742",49.5
San Diego,2015,18 and Over,Total Population,18 and Over,"7,030",28.3
San Francisco,2015,18 and Over,Total Population,18 and Over,"2,291",33
San Joaquin,2015,18 and Over,Total Population,18 and Over,"2,934",56.2
San Luis Obispo,2015,18 and Over,Total Population,18 and Over,629,31.4
San Mateo,2015,18 and Over,Total Population,18 and Over,"1,869",31.9
Santa Barbara,2015,18 and Over,Total Population,18 and Over,"1,045",30.5
Santa Clara,2015,18 and Over,Total Population,18 and Over,"4,545",31.9
Santa Cruz,2015,18 and Over,Total Population,18 and Over,567,28.1
Shasta,2015,18 and Over,Total Population,18 and Over,715,54.4
Sierra,2015,18 and Over,Total Population,18 and Over,,
Siskiyou,2015,18 and Over,Total Population,18 and Over,133,45.8
Solano,2015,18 and Over,Total Population,18 and Over,"2,274",70.7
Sonoma,2015,18 and Over,Total Population,18 and Over,"1,350",34.4
Stanislaus,2015,18 and Over,Total Population,18 and Over,"2,045",51.9
Sutter,2015,18 and Over,Total Population,18 and Over,216,29.4
Tehama,2015,18 and Over,Total Population,18 and Over,195,41.4
Trinity,2015,18 and Over,Total Population,18 and Over,60,70.2
Tulare,2015,18 and Over,Total Population,18 and Over,"1,278",39.4
Tuolumne,2015,18 and Over,Total Population,18 and Over,203,50.4
Ventura,2015,18 and Over,Total Population,18 and Over,"1,662",25.8
Yolo,2015,18 and Over,Total Population,18 and Over,561,36
Yuba,2015,18 and Over,Total Population,18 and Over,215,39.5
Alameda,2015,18 and Over,Race-Ethnicity,African-American,"2,930",195.2
Butte,2015,18 and Over,Race-Ethnicity,African-American,63,219.7
California,2015,18 and Over,Race-Ethnicity,African-American,"25,317",144.6
Contra Costa,2015,18 and Over,Race-Ethnicity,African-American,"1,474",203.9
El Dorado,2015,18 and Over,Race-Ethnicity,African-American,14,163.9
Fresno,2015,18 and Over,Race-Ethnicity,African-American,312,87.8
Glenn,2015,18 and Over,Race-Ethnicity,African-American,,
Humboldt,2015,18 and Over,Race-Ethnicity,African-American,36,292.4
Imperial,2015,18 and Over,Race-Ethnicity,African-American,31,60.7
Kern,2015,18 and Over,Race-Ethnicity,African-American,610,161.7
Kings,2015,18 and Over,Race-Ethnicity,African-American,89,83
Lake,2015,18 and Over,Race-Ethnicity,African-American,18,214.5
Los Angeles,2015,18 and Over,Race-Ethnicity,African-American,"8,744",140.5
Madera,2015,18 and Over,Race-Ethnicity,African-American,36,74.7
Marin,2015,18 and Over,Race-Ethnicity,African-American,37,58.8
Merced,2015,18 and Over,Race-Ethnicity,African-American,186,295.6
Monterey,2015,18 and Over,Race-Ethnicity,African-American,91,100.9
Napa,2015,18 and Over,Race-Ethnicity,African-American,14,75.4
Nevada,2015,18 and Over,Race-Ethnicity,African-American,,
Orange,2015,18 and Over,Race-Ethnicity,African-American,398,94.5
Placer,2015,18 and Over,Race-Ethnicity,African-American,22,67.9
Plumas,2015,18 and Over,Race-Ethnicity,African-American,8,
Riverside,2015,18 and Over,Race-Ethnicity,African-American,"1,236",110.3
Sacramento,2015,18 and Over,Race-Ethnicity,African-American,"2,275",202.8
San Bernardino,2015,18 and Over,Race-Ethnicity,African-American,"1,767",123
San Diego,2015,18 and Over,Race-Ethnicity,African-American,"1,296",111.7
San Francisco,2015,18 and Over,Race-Ethnicity,African-American,808,218.9
San Joaquin,2015,18 and Over,Race-Ethnicity,African-American,703,174.3
San Luis Obispo,2015,18 and Over,Race-Ethnicity,African-American,33,67
San Mateo,2015,18 and Over,Race-Ethnicity,African-American,94,54.1
Santa Barbara,2015,18 and Over,Race-Ethnicity,African-American,87,122
Santa Clara,2015,18 and Over,Race-Ethnicity,African-American,499,122.6
Santa Cruz,2015,18 and Over,Race-Ethnicity,African-American,17,73.4
Shasta,2015,18 and Over,Race-Ethnicity,African-American,17,136.2
Siskiyou,2015,18 and Over,Race-Ethnicity,African-American,6,
Solano,2015,18 and Over,Race-Ethnicity,African-American,804,183.8
Sonoma,2015,18 and Over,Race-Ethnicity,African-American,65,97.1
Stanislaus,2015,18 and Over,Race-Ethnicity,African-American,232,216.3
Sutter,2015,18 and Over,Race-Ethnicity,African-American,11,
Tulare,2015,18 and Over,Race-Ethnicity,African-American,42,98.7
Ventura,2015,18 and Over,Race-Ethnicity,African-American,82,79.8
Tuolumne,2015,18 and Over,Race-Ethnicity,African-American,10,
Yolo,2015,18 and Over,Race-Ethnicity,African-American,42,84.7
Yuba,2015,18 and Over,Race-Ethnicity,African-American,18,112.9
Alameda,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,136,419.1
Butte,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,,
California,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,537,41.5
Contra Costa,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,9,
Fresno,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,5,
Humboldt,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,36,74.6
Inyo,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,5,
Lake,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,8,
Lassen,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,5,
Los Angeles,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,42,26.2
Mendocino,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,10,
Orange,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,7,
Riverside,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,30,36.9
Sacramento,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,29,44.2
San Bernardino,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,42,54.4
San Diego,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,18,16
San Francisco,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,7,
San Joaquin,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,13,52.7
Santa Clara,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,,
Shasta,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,20,63.3
Siskiyou,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,7,
Solano,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,10,
Sonoma,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,19,58.7
Stanislaus,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,7,
Tulare,2015,18 and Over,Race-Ethnicity,American Indian/Alaskan Native,14,61.1
Alameda,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,617,18.4
Butte,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,12,19.8
California,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,"6,454",15.3
Contra Costa,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,268,21.6
El Dorado,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,9,
Fresno,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,91,16
Kern,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,50,17.8
Kings,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,8,
Los Angeles,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,"1,690",14.5
Madera,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,,
Marin,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,19,15.7
Merced,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,19,16.9
Monterey,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,68,27.8
Napa,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,23,28.7
Orange,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,526,11.3
Placer,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,30,13.8
Riverside,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,107,9.2
Sacramento,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,509,30
San Bernardino,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,145,14.3
San Diego,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,433,14.7
San Francisco,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,319,11.7
San Joaquin,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,219,28.9
San Luis Obispo,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,7,
San Mateo,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,265,16.8
Santa Barbara,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,22,12.1
Santa Clara,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,607,13.5
Santa Cruz,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,8,
Shasta,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,13,26.5
Solano,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,151,27.3
Sonoma,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,25,16.2
Stanislaus,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,39,17.2
Sutter,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,23,19.5
Tulare,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,15,12
Ventura,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,48,10.1
Yolo,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,35,22.6
Yuba,2015,18 and Over,Race-Ethnicity,Asian/Pacific Islander,11,
Alameda,2015,18 and Over,Race-Ethnicity,Hispanic,"1,071",41.4
Amador,2015,18 and Over,Race-Ethnicity,Hispanic,13,36.2
Butte,2015,18 and Over,Race-Ethnicity,Hispanic,64,25.8
Calaveras,2015,18 and Over,Race-Ethnicity,Hispanic,13,25.2
California,2015,18 and Over,Race-Ethnicity,Hispanic,"37,997",36.8
Colusa,2015,18 and Over,Race-Ethnicity,Hispanic,20,21.1
Contra Costa,2015,18 and Over,Race-Ethnicity,Hispanic,998,54.5
Del Norte,2015,18 and Over,Race-Ethnicity,Hispanic,,
El Dorado,2015,18 and Over,Race-Ethnicity,Hispanic,60,38
Fresno,2015,18 and Over,Race-Ethnicity,Hispanic,"1,746",53.3
Glenn,2015,18 and Over,Race-Ethnicity,Hispanic,18,27.6
Humboldt,2015,18 and Over,Race-Ethnicity,Hispanic,24,22.3
Imperial,2015,18 and Over,Race-Ethnicity,Hispanic,489,45.8
Inyo,2015,18 and Over,Race-Ethnicity,Hispanic,6,
Kern,2015,18 and Over,Race-Ethnicity,Hispanic,"1,216",40.6
Kings,2015,18 and Over,Race-Ethnicity,Hispanic,241,49.2
Lake,2015,18 and Over,Race-Ethnicity,Hispanic,51,70.4
Lassen,2015,18 and Over,Race-Ethnicity,Hispanic,5,
Los Angeles,2015,18 and Over,Race-Ethnicity,Hispanic,"13,143",37.4
Madera,2015,18 and Over,Race-Ethnicity,Hispanic,244,43.2
Marin,2015,18 and Over,Race-Ethnicity,Hispanic,55,20.2
Mendocino,2015,18 and Over,Race-Ethnicity,Hispanic,39,25
Merced,2015,18 and Over,Race-Ethnicity,Hispanic,602,61.8
Mono,2015,18 and Over,Race-Ethnicity,Hispanic,6,
Monterey,2015,18 and Over,Race-Ethnicity,Hispanic,623,38.7
Napa,2015,18 and Over,Race-Ethnicity,Hispanic,75,23.1
Nevada,2015,18 and Over,Race-Ethnicity,Hispanic,8,
Orange,2015,18 and Over,Race-Ethnicity,Hispanic,"1,855",25.2
Placer,2015,18 and Over,Race-Ethnicity,Hispanic,79,20.6
Plumas,2015,18 and Over,Race-Ethnicity,Hispanic,21,181.3
Riverside,2015,18 and Over,Race-Ethnicity,Hispanic,"2,226",30.2
Sacramento,2015,18 and Over,Race-Ethnicity,Hispanic,"1,106",49.7
San Benito,2015,18 and Over,Race-Ethnicity,Hispanic,102,42.3
San Bernardino,2015,18 and Over,Race-Ethnicity,Hispanic,"2,647",36.5
San Diego,2015,18 and Over,Race-Ethnicity,Hispanic,"1,977",26.1
San Francisco,2015,18 and Over,Race-Ethnicity,Hispanic,350,35.6
San Joaquin,2015,18 and Over,Race-Ethnicity,Hispanic,868,47.6
San Luis Obispo,2015,18 and Over,Race-Ethnicity,Hispanic,95,21.6
San Mateo,2015,18 and Over,Race-Ethnicity,Hispanic,761,54.2
Santa Barbara,2015,18 and Over,Race-Ethnicity,Hispanic,430,30.9
Santa Clara,2015,18 and Over,Race-Ethnicity,Hispanic,"1,797",50.9
Santa Cruz,2015,18 and Over,Race-Ethnicity,Hispanic,172,30.9
Shasta,2015,18 and Over,Race-Ethnicity,Hispanic,21,18
Siskiyou,2015,18 and Over,Race-Ethnicity,Hispanic,,
Solano,2015,18 and Over,Race-Ethnicity,Hispanic,349,48.2
Sonoma,2015,18 and Over,Race-Ethnicity,Hispanic,216,26.6
Stanislaus,2015,18 and Over,Race-Ethnicity,Hispanic,676,44.7
Sutter,2015,18 and Over,Race-Ethnicity,Hispanic,48,23.2
Tehama,2015,18 and Over,Race-Ethnicity,Hispanic,37,42.8
Tulare,2015,18 and Over,Race-Ethnicity,Hispanic,451,25.1
Tuolumne,2015,18 and Over,Race-Ethnicity,Hispanic,7,
Ventura,2015,18 and Over,Race-Ethnicity,Hispanic,651,26.9
Yolo,2015,18 and Over,Race-Ethnicity,Hispanic,176,40.9
Yuba,2015,18 and Over,Race-Ethnicity,Hispanic,21,19.9
Alameda,2015,18 and Over,Race-Ethnicity,White,"1,259",30.3
Amador,2015,18 and Over,Race-Ethnicity,White,128,54.8
Butte,2015,18 and Over,Race-Ethnicity,White,565,46
Calaveras,2015,18 and Over,Race-Ethnicity,White,122,46.2
California,2015,18 and Over,Race-Ethnicity,White,"41,407",34.9
Colusa,2015,18 and Over,Race-Ethnicity,White,23,40.9
Contra Costa,2015,18 and Over,Race-Ethnicity,White,"1,497",37.5
Del Norte,2015,18 and Over,Race-Ethnicity,White,78,61.4
El Dorado,2015,18 and Over,Race-Ethnicity,White,241,23.7
Fresno,2015,18 and Over,Race-Ethnicity,White,"1,220",53.1
Glenn,2015,18 and Over,Race-Ethnicity,White,57,54
Humboldt,2015,18 and Over,Race-Ethnicity,White,535,66.3
Imperial,2015,18 and Over,Race-Ethnicity,White,116,56.6
Inyo,2015,18 and Over,Race-Ethnicity,White,43,49.6
Kern,2015,18 and Over,Race-Ethnicity,White,"1,317",50.8
Kings,2015,18 and Over,Race-Ethnicity,White,280,66.8
Lake,2015,18 and Over,Race-Ethnicity,White,271,77.3
Lassen,2015,18 and Over,Race-Ethnicity,White,102,56.7
Los Angeles,2015,18 and Over,Race-Ethnicity,White,"6,748",30.7
Madera,2015,18 and Over,Race-Ethnicity,White,141,29.6
Marin,2015,18 and Over,Race-Ethnicity,White,252,17.6
Mariposa,2015,18 and Over,Race-Ethnicity,White,62,57.7
Mendocino,2015,18 and Over,Race-Ethnicity,White,280,67.8
Merced,2015,18 and Over,Race-Ethnicity,White,479,72
Modoc,2015,18 and Over,Race-Ethnicity,White,29,63.5
Mono,2015,18 and Over,Race-Ethnicity,White,21,32.9
Monterey,2015,18 and Over,Race-Ethnicity,White,373,41.2
Napa,2015,18 and Over,Race-Ethnicity,White,253,41.3
Nevada,2015,18 and Over,Race-Ethnicity,White,257,48
Orange,2015,18 and Over,Race-Ethnicity,White,"2,957",27.9
Placer,2015,18 and Over,Race-Ethnicity,White,620,30.2
Plumas,2015,18 and Over,Race-Ethnicity,White,48,35.6
Riverside,2015,18 and Over,Race-Ethnicity,White,"2,355",34.6
Sacramento,2015,18 and Over,Race-Ethnicity,White,"2,512",46.4
San Benito,2015,18 and Over,Race-Ethnicity,White,63,46.3
San Bernardino,2015,18 and Over,Race-Ethnicity,White,"2,599",48.7
San Diego,2015,18 and Over,Race-Ethnicity,White,"2,785",22.7
San Francisco,2015,18 and Over,Race-Ethnicity,White,660,23.4
San Joaquin,2015,18 and Over,Race-Ethnicity,White,"1,005",52.7
San Luis Obispo,2015,18 and Over,Race-Ethnicity,White,472,34.4
San Mateo,2015,18 and Over,Race-Ethnicity,White,607,25.5
Santa Barbara,2015,18 and Over,Race-Ethnicity,White,491,30.9
Santa Clara,2015,18 and Over,Race-Ethnicity,White,"1,418",28.9
Santa Cruz,2015,18 and Over,Race-Ethnicity,White,365,31.1
Shasta,2015,18 and Over,Race-Ethnicity,White,631,60.3
Sierra,2015,18 and Over,Race-Ethnicity,White,7,
Siskiyou,2015,18 and Over,Race-Ethnicity,White,106,49
Solano,2015,18 and Over,Race-Ethnicity,White,834,62.2
Sonoma,2015,18 and Over,Race-Ethnicity,White,965,36.7
Stanislaus,2015,18 and Over,Race-Ethnicity,White,978,51.3
Sutter,2015,18 and Over,Race-Ethnicity,White,122,31.5
Tehama,2015,18 and Over,Race-Ethnicity,White,148,45.8
Trinity,2015,18 and Over,Race-Ethnicity,White,55,84.9
Tulare,2015,18 and Over,Race-Ethnicity,White,358,32.3
Tuolumne,2015,18 and Over,Race-Ethnicity,White,182,58.3
Ventura,2015,18 and Over,Race-Ethnicity,White,826,26.3
Yolo,2015,18 and Over,Race-Ethnicity,White,282,34
Yuba,2015,18 and Over,Race-Ethnicity,White,153,45.8
Alameda,2015,18 and Over,Sex,Female,"3,828",60.5
Amador,2015,18 and Over,Sex,Female,113,79.4
Butte,2015,18 and Over,Sex,Female,439,52.6
Calaveras,2015,18 and Over,Sex,Female,96,59.4
California,2015,18 and Over,Sex,Female,"73,315",49.2
Colusa,2015,18 and Over,Sex,Female,27,32.7
Contra Costa,2015,18 and Over,Sex,Female,"2,852",66.4
Del Norte,2015,18 and Over,Sex,Female,69,82.4
El Dorado,2015,18 and Over,Sex,Female,283,43.8
Fresno,2015,18 and Over,Sex,Female,"2,251",64.6
Glenn,2015,18 and Over,Sex,Female,51,49.9
Humboldt,2015,18 and Over,Sex,Female,397,78.7
Imperial,2015,18 and Over,Sex,Female,397,58.5
Inyo,2015,18 and Over,Sex,Female,36,54.9
Kern,2015,18 and Over,Sex,Female,"2,083",66.9
Kings,2015,18 and Over,Sex,Female,424,90.2
Lake,2015,18 and Over,Sex,Female,239,104
Lassen,2015,18 and Over,Sex,Female,72,82.5
Los Angeles,2015,18 and Over,Sex,Female,"19,745",49.8
Madera,2015,18 and Over,Sex,Female,292,47.2
Marin,2015,18 and Over,Sex,Female,221,20.9
Mariposa,2015,18 and Over,Sex,Female,46,72.2
Mendocino,2015,18 and Over,Sex,Female,208,64.2
Merced,2015,18 and Over,Sex,Female,838,89.6
Modoc,2015,18 and Over,Sex,Female,27,92.6
Mono,2015,18 and Over,Sex,Female,15,28.1
Monterey,2015,18 and Over,Sex,Female,793,51.3
Napa,2015,18 and Over,Sex,Female,254,45.9
Nevada,2015,18 and Over,Sex,Female,198,59.3
Orange,2015,18 and Over,Sex,Female,"3,668",29.6
Placer,2015,18 and Over,Sex,Female,520,35.7
Plumas,2015,18 and Over,Sex,Female,45,67.8
Riverside,2015,18 and Over,Sex,Female,"3,889",44.6
Sacramento,2015,18 and Over,Sex,Female,"4,216",75.1
San Benito,2015,18 and Over,Sex,Female,104,48.4
San Bernardino,2015,18 and Over,Sex,Female,"4,884",62
San Diego,2015,18 and Over,Sex,Female,"4,469",36
San Francisco,2015,18 and Over,Sex,Female,"1,307",39
San Joaquin,2015,18 and Over,Sex,Female,"1,798",68.7
San Luis Obispo,2015,18 and Over,Sex,Female,398,42
San Mateo,2015,18 and Over,Sex,Female,"1,088",35.6
Santa Barbara,2015,18 and Over,Sex,Female,654,38.7
Santa Clara,2015,18 and Over,Sex,Female,"2,730",37.8
Santa Cruz,2015,18 and Over,Sex,Female,287,27.9
Shasta,2015,18 and Over,Sex,Female,454,66.7
Siskiyou,2015,18 and Over,Sex,Female,71,51.6
Solano,2015,18 and Over,Sex,Female,"1,474",91.2
Sonoma,2015,18 and Over,Sex,Female,851,43.1
Stanislaus,2015,18 and Over,Sex,Female,"1,302",65.1
Sutter,2015,18 and Over,Sex,Female,136,36.4
Tehama,2015,18 and Over,Sex,Female,122,49.3
Trinity,2015,18 and Over,Sex,Female,26,51.2
Tulare,2015,18 and Over,Sex,Female,816,51
Tuolumne,2015,18 and Over,Sex,Female,136,75.7
Ventura,2015,18 and Over,Sex,Female,"1,057",32.2
Yolo,2015,18 and Over,Sex,Female,349,44.2
Yuba,2015,18 and Over,Sex,Female,126,46
Alameda,2015,18 and Over,Sex,Male,"2,685",45.2
Amador,2015,18 and Over,Sex,Male,38,26.3
Butte,2015,18 and Over,Sex,Male,297,34.9
Calaveras,2015,18 and Over,Sex,Male,43,26.8
California,2015,18 and Over,Sex,Male,"44,533",30.5
Colusa,2015,18 and Over,Sex,Male,22,25.6
Contra Costa,2015,18 and Over,Sex,Male,"1,675",42.3
Del Norte,2015,18 and Over,Sex,Male,22,17.7
El Dorado,2015,18 and Over,Sex,Male,139,21.8
Fresno,2015,18 and Over,Sex,Male,"1,203",34.5
Glenn,2015,18 and Over,Sex,Male,32,29.3
Humboldt,2015,18 and Over,Sex,Male,285,52.3
Imperial,2015,18 and Over,Sex,Male,254,35.9
Inyo,2015,18 and Over,Sex,Male,19,26.1
Kern,2015,18 and Over,Sex,Male,"1,210",34.9
Kings,2015,18 and Over,Sex,Male,211,32.3
Lake,2015,18 and Over,Sex,Male,124,50.3
Lassen,2015,18 and Over,Sex,Male,43,22
Los Angeles,2015,18 and Over,Sex,Male,"11,939",31.4
Madera,2015,18 and Over,Sex,Male,153,27.1
Marin,2015,18 and Over,Sex,Male,153,15.8
Mariposa,2015,18 and Over,Sex,Male,23,30.1
Mendocino,2015,18 and Over,Sex,Male,141,42.9
Merced,2015,18 and Over,Sex,Male,477,49.5
Modoc,2015,18 and Over,Sex,Male,7,
Mono,2015,18 and Over,Sex,Male,12,21
Monterey,2015,18 and Over,Sex,Male,431,26.3
Napa,2015,18 and Over,Sex,Male,128,23.6
Nevada,2015,18 and Over,Sex,Male,74,23
Orange,2015,18 and Over,Sex,Male,"2,328",19.9
Placer,2015,18 and Over,Sex,Male,268,19.5
Plumas,2015,18 and Over,Sex,Male,33,38
Riverside,2015,18 and Over,Sex,Male,"2,304",26.5
Sacramento,2015,18 and Over,Sex,Male,"2,608",47.7
San Benito,2015,18 and Over,Sex,Male,66,32.8
San Bernardino,2015,18 and Over,Sex,Male,"2,858",36.4
San Diego,2015,18 and Over,Sex,Male,"2,560",20.4
San Francisco,2015,18 and Over,Sex,Male,984,27.7
San Joaquin,2015,18 and Over,Sex,Male,"1,136",43.4
San Luis Obispo,2015,18 and Over,Sex,Male,231,21.4
San Mateo,2015,18 and Over,Sex,Male,781,27.8
Santa Barbara,2015,18 and Over,Sex,Male,391,22.8
Santa Clara,2015,18 and Over,Sex,Male,"1,815",26
Santa Cruz,2015,18 and Over,Sex,Male,280,28.5
Shasta,2015,18 and Over,Sex,Male,261,41.7
Sierra,2015,18 and Over,Sex,Male,62,40.3
Siskiyou,2015,18 and Over,Sex,Male,800,50.3
Solano,2015,18 and Over,Sex,Male,499,25.5
Sonoma,2015,18 and Over,Sex,Male,743,38
Stanislaus,2015,18 and Over,Sex,Male,80,22.5
Sutter,2015,18 and Over,Sex,Male,73,33.1
Tehama,2015,18 and Over,Sex,Male,34,83.9
Tulare,2015,18 and Over,Sex,Male,462,28
Tuolumne,2015,18 and Over,Sex,Male,67,30.5
Ventura,2015,18 and Over,Sex,Male,605,19.1
Yolo,2015,18 and Over,Sex,Male,212,27.3
Yuba,2015,18 and Over,Sex,Male,89,33.5
Alameda,2015,All Ages,Total Population,All Ages,"9,939",64.3
Amador,2015,All Ages,Total Population,All Ages,196,58.4
Butte,2015,All Ages,Total Population,All Ages,"1,044",50.2
Calaveras,2015,All Ages,Total Population,All Ages,185,48
California,2015,All Ages,Total Population,All Ages,"191,904",50.4
Colusa,2015,All Ages,Total Population,All Ages,97,41.4
Contra Costa,2015,All Ages,Total Population,All Ages,"6,858",65.2
Del Norte,2015,All Ages,Total Population,All Ages,140,53
El Dorado,2015,All Ages,Total Population,All Ages,592,36.4
Fresno,2015,All Ages,Total Population,All Ages,"7,936",77
Glenn,2015,All Ages,Total Population,All Ages,122,42.6
Humboldt,2015,All Ages,Total Population,All Ages,835,63.4
Imperial,2015,All Ages,Total Population,All Ages,"1,388",71.2
Inyo,2015,All Ages,Total Population,All Ages,88,53.5
Kern,2015,All Ages,Total Population,All Ages,"5,859",62.3
Kings,2015,All Ages,Total Population,All Ages,"1,250",78.6
Lake,2015,All Ages,Total Population,All Ages,478,80.4
Lassen,2015,All Ages,Total Population,All Ages,148,45.3
Los Angeles,2015,All Ages,Total Population,All Ages,"52,227",53.1
Madera,2015,All Ages,Total Population,All Ages,"1,031",62.3
Marin,2015,All Ages,Total Population,All Ages,541,22.2
Mariposa,2015,All Ages,Total Population,All Ages,79,47.4
Mendocino,2015,All Ages,Total Population,All Ages,479,57.4
Merced,2015,All Ages,Total Population,All Ages,"2,425",87.4
Modoc,2015,All Ages,Total Population,All Ages,53,67.9
Mono,2015,All Ages,Total Population,All Ages,43,32
Monterey,2015,All Ages,Total Population,All Ages,"2,194",50.2
Napa,2015,All Ages,Total Population,All Ages,572,41.9
Nevada,2015,All Ages,Total Population,All Ages,351,42.8
Orange,2015,All Ages,Total Population,All Ages,"10,275",33.9
Placer,2015,All Ages,Total Population,All Ages,"1,125",31.4
Plumas,2015,All Ages,Total Population,All Ages,99,56.3
