Year,ZIP code,Age Group,Number of Visits,Age-adjusted rate,County Fips code,County
2009,90035,Adults (18+),50,22.09999085,6037,Los Angeles
2009,90035,All Ages,77,29.19999695,6037,Los Angeles
2009,90035,Children (0-17),27,49.5,6037,Los Angeles
2009,90036,Adults (18+),59,19.69999695,6037,Los Angeles
2009,90036,All Ages,81,25.69999695,6037,Los Angeles
2009,90036,Children (0-17),22,43.19998169,6037,Los Angeles
2009,90037,Adults (18+),286,80.59997559,6037,Los Angeles
2009,90037,All Ages,530,89.29998779,6037,Los Angeles
2009,90037,Children (0-17),244,114.5999756,6037,Los Angeles
2009,90038,Adults (18+),67,26.79998779,6037,Los Angeles
2009,90038,All Ages,140,41.29998779,6037,Los Angeles
2009,90038,Children (0-17),73,83.09997559,6037,Los Angeles
2009,90039,Adults (18+),94,40,6037,Los Angeles
2009,90039,All Ages,151,52.5,6037,Los Angeles
2009,90039,Children (0-17),57,88.29998779,6037,Los Angeles
2009,90040,Adults (18+),24,29.8999939,6037,Los Angeles
2009,90040,All Ages,47,35.59997559,6037,Los Angeles
2009,90040,Children (0-17),23,52.19998169,6037,Los Angeles
2009,90041,Adults (18+),78,33.3999939,6037,Los Angeles
2009,90041,All Ages,120,40.69998169,6037,Los Angeles
2009,90041,Children (0-17),42,61.69998169,6037,Los Angeles
2009,90042,Adults (18+),231,52.8999939,6037,Los Angeles
2009,90042,All Ages,384,58.79998779,6037,Los Angeles
2009,90042,Children (0-17),153,75.89996338,6037,Los Angeles
2009,90043,Adults (18+),308,90.19995117,6037,Los Angeles
2009,90043,All Ages,506,106.0999756,6037,Los Angeles
2009,90043,Children (0-17),198,152,6037,Los Angeles
2009,90044,Adults (18+),553,94.09997559,6037,Los Angeles
2009,90044,All Ages,1039,106.6999512,6037,Los Angeles
2009,90044,Children (0-17),486,142.8999023,6037,Los Angeles
2009,90045,Adults (18+),75,23.09999085,6037,Los Angeles
2009,90045,All Ages,120,30.19999695,6037,Los Angeles
2009,90045,Children (0-17),45,50.69998169,6037,Los Angeles
2009,90046,Adults (18+),86,17.8999939,6037,Los Angeles
